REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
May-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,45.994,,,,3
May-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,78.534,,,,3
May-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,30.659,,,,3
May-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,4.357,,,,3
May-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.991,,,,3
May-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,24.311,,,,3
May-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,48.484,,,,3
Jun-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,184.819,,,,3
Jun-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.415,,,,3
Jun-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.971,,,,3
Jun-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.334,,,,3
Jun-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.379,,,,3
Jun-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.731,,,,3
Jun-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,55.666,,,,3
Jun-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,57.692,,,,3
Jun-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,20.356,,,,3
Jun-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.239,,,,3
Jun-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.77,,,,3
Jun-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,15.347,,,,3
Jun-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,37.69,,,,3
Jul-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,170.29,,,,3
Jul-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,10.833,,,,3
Jul-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.718,,,,3
Jul-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.051,,,,3
Jul-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.033,,,,3
Jul-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.031,,,,3
Jul-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,43.506,,,,3
Jul-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,70.119,,,,3
Jul-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,19.06,,,,3
Jul-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.056,,,,3
Jul-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.277,,,,3
Jul-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,14.727,,,,3
Jul-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,26.772,,,,3
Aug-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,164.638,,,,3
Aug-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,12.356,,,,3
Aug-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.902,,,,3
Aug-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.118,,,,3
Aug-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.741,,,,3
Aug-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.595,,,,3
Aug-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,48.145,,,,3
Aug-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,49.298,,,,3
Aug-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,18.823,,,,3
Aug-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.729,,,,3
Aug-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,2.044,,,,3
Aug-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,13.05,,,,3
Aug-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,36.016,,,,3
